"ID"|"Port Name     "|"Location"|"Specialty    Price Req.:Eco-T"|"Ind-T"|"Sprt"
"34"|" Copenhagen    "|"57N  12E"|"Glassware      190 *450:530 b"|"510 D"|" 98H"
"35"|" Hamburg       "|"55N  10E"|"Dye             85 *400:600 b"|"620 C"|" 95H"
"36"|" Oslo          "|"63N  10E"|"Wood            82 *100:190 b"|"185 D"|" 80E"
"37"|" Stockholm     "|"62N  19E"|"Copper Ore      80  500:480 b"|"470 D"|" 85E"
"38"|" Lubeck        "|"55N  10E"|"Silver         170  500:320 b"|"300 D"|" 85H"
"39"|" Danzig        "|"56N  18E"|"-------------- ---  ---:370 b"|"280 D"|" 90H"
"40"|" Riga          "|"59N  23E"|"Wood            80 *100:150 b"|"160 D"|" 85H"
"41"|" Bergen        "|"62N   5E"|"-------------- ---  ---:145 b"|"150 D"|" 80H"
"42"|" Caracas       "|" 7N  72W"|"Vanilla         40 *200:220 h"|"210 K"|" 95S"
"43"|" Cartegena     "|" 6N  81W"|"-------------- ---  ---:190 h"|"130 K"|"  0 "
"44"|" Havana        "|"19N  87W"|"Vanilla         35 *200:210 g"|"220 K"|" 93S"
"45"|" Margarita     "|" 7N  69W"|"-------------- ---  ---: 40 h"|" 45 K"|"  0 "
"46"|" Panama        "|" 5N  85W"|"-------------- ---  ---:160 g"|"190 K"|"  0 "
"47"|" Porto Velho   "|" 6N  85W"|"-------------- ---  ---: 60 g"|" 75 K"|" 95S"
"48"|" Santo Domingo "|"14N  74W"|"Sugar           18  200:150 g"|"160 K"|" 98S"
"49"|" Veracruz      "|"15N 100W"|"Gold           400  400: 80 g"|" 75 K"|"  0 "
"50"|" Jamaica       "|"13N  81W"|"Sugar           18  200: 60 g"|" 80 K"|" 90S"
"51"|" Guatemala     "|"10N  95W"|"Grain           10   90: 70 g"|" 65 K"|" 97S"
"52"|" Pernambuco    "|"11S  45W"|"Dye             35  250:215 h"|"240 K"|"100P"
"53"|" Rio de Janeiro"|"25S  50W"|"Gold           380  450: 45 h"|" 50 K"|" 90P"
"54"|" Maracaibo     "|" 7N  77W"|"-------------- ---  ---:120 h"|"105 K"|" 95S"
"55"|" Santiago      "|"16N  81W"|"-------------- ---  ---: 80 g"|"105 K"|"  0 "
"56"|" Cayenne       "|" 0S  57W"|"Wood            60  100: 70 h"|" 65 K"|"  0 "
"57"|" Madeira       "|"33N  17W"|"Sugar           12 *100:240 f"|"230 H"|"100P"
"58"|" Santa Cruz    "|"28N  17W"|"-------------- ---  ---: 90 f"|" 80 H"|"  0 "
"59"|" San Jorge     "|" 6N   2W"|"Ivory          100 *200:210 f"|"190 H"|"100P"
"60"|" Bissau        "|"13N  17W"|"-------------- ---  ---: 85 f"|"100 H"|"  0 "
"61"|" Luanda        "|" 8S  12E"|"Coral          120  100: 90 f"|" 75 H"|" 96P"
"62"|" Argin         "|"20N  18W"|"-------------- ---  ---:200 f"|"185 H"|"100P"
"63"|" Bathurst      "|"14N  17W"|"-------------- ---  ---: 75 f"|" 60 H"|"  0 "
"64"|" Timbuktu      "|"15N   4W"|"Ivory           60 *100:430 f"|" 35 H"|"  0 "
"65"|" Abidjan       "|" 6N   5W"|"Musk            80  200: 90 f"|" 75 H"|"  0 "
"66"|" Sofala        "|"17S  34E"|"Ivory           90 *100:390 i"|"400 H"|" 85P"
"67"|" Malindi       "|" 3S  39E"|"Musk            70 *150:370 i"|"360 H"|" 95P"
"68"|" Mogadishu     "|" 3N  45E"|"Ivory           85  150: 90 i"|" 70 H"|"  0 "
"69"|" Mombasa       "|" 4S  39E"|"-------------- ---  ---:380 i"|"390 H"|" 90P"
"70"|" Mozambique    "|"13S  40E"|"-------------- ---  ---:180 i"|"160 H"|"  0 "
"71"|" Quelimane     "|"15S  36E"|"Tortoise Shell  45  200: 60 i"|" 60 H"|"  0 "
"72"|" Aden          "|"14N  46E"|"Amber          110  250:210 j"|"260 G"|" 90P"
"73"|" Hormuz        "|"26N  56E"|"Ginger          25  300:100 j"|" 90 G"|" 95P"
"74"|" Massawa       "|"15N  41E"|"Pimento         25  300: 90 j"|" 85 G"|"  0 "
"75"|" Cairo         "|"29N  32E"|"Art            190 *400:510 j"|"480 F"|"100T"
"76"|" Basra         "|"30N  48E"|"Cheese          10 * 50:480 j"|"500 G"|"100T"
"77"|" Mecca         "|"21N  39E"|"Musk            50 *200:500 j"|" 80 G"|"100T"
"78"|" Quatar        "|"25N  52E"|"Tortoise Shell  35  150:130 j"|"160 G"|"100T"
"79"|" Shiraz        "|"26N  53E"|"-------------- ---  ---: 70 j"|" 80 G"|"100T"
"80"|" Muscat        "|"24N  58E"|"-------------- ---  ---:180 j"|"230 G"|" 95T"
"81"|" Diu           "|"25N  66E"|"-------------- ---  ---: 75 k"|" 80 G"|" 87P"
"82"|" Cochin        "|"10N  75E"|"-------------- ---  ---:130 k"|"120 G"|" 90P"
"83"|" Ceylon        "|" 8N  80E"|"Cinnamon         4 * 50:180 k"|"210 G"|"  0 "
"84"|" Amboa         "|" 1S 125E"|"Nutmeg           5   70: 50 l"|" 50 G"|"  0 "
"85"|" Goa           "|"14N  73E"|"Ginger          10 *200:540 k"|"560 G"|" 85P"
"86"|" Malacca       "|" 4N 101E"|"Cinnamon         3 * 50: 90 l"|" 95 G"|"  0 "
"87"|" Ternate       "|" 2N 125E"|"Clove            4 * 80: 80 l"|" 85 G"|"  0 "
"88"|" Banda         "|" 2S 128E"|"Nutmeg           3 * 30: 45 l"|" 40 G"|"  0 "
"89"|" Dili          "|" 6S 125E"|"Clove            4   50: 40 l"|" 45 G"|"  0 "
"90"|" Pasei         "|" 5N  96E"|"-------------- ---  ---: 35 l"|" 40 G"|"  0 "
"91"|" Sunda         "|" 3S 106E"|"-------------- ---  ---: 40 l"|" 55 G"|"  0 "
"92"|" Calicut       "|"12N  74E"|"Nutmeg          15 *250:530 k"|"560 G"|"  0 "
"93"|" Bankao        "|" 1N 105E"|"-------------- ---  ---: 50 l"|" 45 G"|"  0 "
"94"|" Zeiton        "|"26N 119E"|"Silk            25 *300:520 m"|"570 I"|"  0 "
"95"|" Macao         "|"23N 113E"|"-------------- ---  ---:480 m"|"490 I"|"  0 "
"96"|" Hanoi         "|"22N 105E"|"Coral           70 *300:300 m"|"340 G"|"  0 "
"97"|" Changan       "|"35N 110E"|"Silk Cloth      20 *400:580 m"|"280 I"|"  0 "
"98"|" Sakai         "|"35N 136E"|"Silk Cloth      15 *400:420 m"|"410 J"|"  0 "
"99"|" Nagasaki      "|"33N 129E"|"Silver          35 *150:210 m"|"220 J"|"  0 "|
